start,end,text
614860,616800," across the hybrid cloud."
616800,620000," In this case, it runs on IBM Vela."
620000,624180," Vela is a first-of-a-kind cloud-native AI supercomputer"
624180,625960," that we built last year."
625960,627840," It gives you bare-metal performance"
627840,630520," in the cloud with a virtualization overhead"
630520,632980," that is less than 5%."
632980,636360," And we're making it available as a service."
636360,640140," Watson X dot AI auto-scales the resources for the training"
640140,641520," being done."
641520,643300," And the first thing that we need to do"
643300,647000," is to tokenize the data according to the requirements"
647000,648940," of the model."
648940,651940," So we first query the data using the version ID"
651940,654060," for the pile we want to use."
654060,656700," That materializes a copy of the data"
656700,660240," set on Vela for tokenization."
660240,662540," What this means is that, for example,"
662540,664520," if we're building a large language model,"
664520,668520," the sentences in the data are broken into tokens."
668520,672520," And this process can create trillions of them."
672520,675180," And we use the tokens to train the model."
675180,678800," Now, training is a very complex and time-consuming task."
678800,683120," It can require dozens, hundreds, even thousands of GPUs,"
683120,683940," and can take days."
683940,688040," It can take days, weeks, and even months."
688040,690120," Training in Watson dot AI takes advantage"
690120,693180," of the best open-source technology out there"
693180,696060," to simplify the user experience."
696060,700320," Built on CodeFlare, using PyTorch and Ray,"
700320,703140," it also integrates Hugging Face to bring you"
703140,706620," a rich variety of open formats."
706620,711000," Once training is done, the model is ready for validation."
711000,713820," So for each model we train, we run an extensive set"
713820,716560," of benchmarks to evaluate the model quality"
716560,720000," across a wide range of metrics."
720000,722340," Once the model passes all the thresholds"
722340,725700," across the benchmarks, it is packaged and marked"
725700,727500," as ready for use."
727500,730320," For each model, we create a model card"
730320,734060," that lists all the details of the model."
734060,735780," We will have many different models"
735780,739420," trained on different piles with different target goals."
739420,742940," Next, we go to Watson X dot governance to combine the data"
742940,743700," card."
743700,746280," This is a model card that has the detailed provenance"
746280,749880," information for the data pile that was used for training"
749880,753840," with the model card that has the detailed information on how"
753840,756700," the model was trained and validated."
756700,760380," Together, they form a fact sheet."
760380,764460," This fact sheet is cataloged in dot governance"
764460,766920," and all the other fact sheets for all the models"
766920,769740," that we have available for use."
769740,773580," Now, let's go on to tune the model that we just created."
773580,775400," What we mean by that is to adapt it"
775400,778220," to new downstream tasks, which is"
778220,782040," the basis for the large productivity gains that"
782040,784920," is afforded by foundation models."
784920,787740," So say, in this case, you're a different persona."
787740,789760," You're the application developer."
789760,791800," So you can access Watson X dot AI"
791800,796160," and start by picking a model from the catalog to work with."
796160,798800," We have a family of IBM models specialized"
798800,800380," for different domains."
800380,803460," But we also have a rich set of open models"
803460,805940," and training models because we believe"
805940,809060," in the creativity of the global AI community"
809060,811920," and in the diversity of models it offers."
811920,814800," And we want to bring that to you."
814800,820180," In this case, we pick Sandstone dot 3B from the IBM language"
820180,823920," models, which is the model that we just trained."
823920,827520," We set up the options for tuning, the tuning approach."
827520,830640," We pick summarization as an example"
830640,833340," as the base model to use."
833340,836840," We can access and use business proprietary data"
836840,842420," to tune the base model and for the task that we choose,"
842420,845800," whether that business data is located"
845800,847940," anywhere in the hybrid cloud platform."
847940,851040," So now we send prompts and tuning data."
851040,854780," And that's used to tune the model in dot AI."
854780,858960," You get the outcome of the prompt on the model."
858960,861960," This process happens back and forth, back and forth"
861960,863220," many times."
863220,868680," And in the end, you end up with a set of ideal prompts to use."
868680,872600," The model is now specialized and ready to deploy."
872600,876160," This is the final step in our AI workflow."
876160,879600," The application where you want to use the foundation model"
879600,881860," can live in the public cloud."
881860,885100," It can live on-prem or on the edge."
885100,888000," And you can really deploy and run foundation models"
888000,891400," efficiently wherever you need them."
891400,893100," And the deployed model can be used"
893100,895140," in many different applications."
895140,898000," So for example, we've embedded foundation models"
898000,899820," in Watson Assistant."
899820,901740," For text generation in Assistant,"
901740,905920," you describe the topic that you want the Assistant to handle."
905920,909280," And it generates the corresponding conversational"
909280,910660," flow."
910660,915440," We have an inference stack to scale the serving of the model"
915440,917020," in applications."
917020,919040," It consists of state-of-the-art technology"
919040,922980," that has been field tested for scalable model serving."
922980,927420," This is how WatsonX allows us to go from data to a model that"
927420,931100," is trusted, governed, deployed and ready to serve,"
931100,935700," and how we can scale that model to different applications."
935700,939180," Once models are deployed, we continuously monitor them"
939180,944180," and update them in both .data and in .ai."
944180,949460," We call this constant process or data and model factory."
949460,952860," As WatsonX.governance monitors the models,"
952860,957740," it is any change that may impact how the model can be used"
957740,961820," or performs be driven because we have new data that can be"
961820,966100," leveraged, or there's a change in some regulation or law"
966100,967900," or data licensing."
967900,972180," Any change detected by the .governance process guides"
972180,977400," and process the update to both the data and the model."
977400,979360," The idea of the model factory is that that"
979360,982740," is central to solid and proper governance of AI."
982740,986980," Now, all of these updates need to happen without disrupting"
986980,989680," the underlying applications that are leveraging"
989680,991620," the foundation models."
991620,995180," And this data and model factory is in production today."
995180,999060," We have already produced over 20 models across modalities"
999060,1003400," like language, code, geospatial, and chemistry,"
1003400,1007660," and spanning different sizes of models from hundreds of millions"
1007660,1011240," to billions of parameters."
1011240,1012620," We've infused these foundations"
1012620,1017500," models into IBM products, Red Hat products, and/or partners"
1017500,1018660," products."
1018660,1021460," At IBM, over 12 foundation models"
1021460,1024980," are powering our IBM NLP library, which"
1024980,1030940," is used in over 15 IBM products and is available to ISVs."
1030940,1034720," Granite models trained over code are part of IBM Watson Code"
1034720,1038580," Assistant, which has been applied in the Red Hat Ansible"
1038580,1040420," automation platform."
1040420,1042500," And as you heard earlier in this event,"
1042500,1046960," SAP has partnered with us and is infusing foundation models"
1046960,1048960," into their solutions."
1048960,1053940," So Watson X is really ready for you to create value with AI."
1053940,1056820," Now, to maximize what you can do and the innovations"
1056820,1059040," at your disposal, we believe that you"
1059040,1062040," should bet on community."
1062040,1066940," Because the truth is, one model will not rule them all."
1066940,1069620," And with the innovations and models"
1069620,1072380," that it develops, the open community"
1072380,1077620," is supercharging the value that you will be able to create."
1077620,1080860," To be true to our belief in the diversity"
1080860,1084180," and the creativity of the open AI community,"
1084180,1088380," we're proud to announce our new partnership with Hugging Face."
1088380,1091040," So let's invite to the stage co-founder and CEO"
1091040,1094320," of Hugging Face, Clem DeLong."
1094320,1094820," Clem."
1094820,1098760," Hey, Dario."
1098760,1101420," Clem, thanks for having me."
1101420,1102260," First of all, welcome."
1102260,1103180," Welcome to IBM Think."
1103180,1105280," We're just delighted to have you here."
1105280,1107480," So let's begin by, tell us a little bit about yourself"
1107480,1109600," and how and when you got interested in AI."
1109600,1111540," And how did Hugging Face get started?"
1111540,1113580," Yeah, thanks so much for having me."
1113580,1117380," I actually started in AI almost 15 years ago."
1117380,1120500," I look at the room at the time we couldn't have filled it."
1120500,1125260," Maybe it would have been 1%, 2% of the room at most."
1125260,1128200," As a matter of fact, we weren't even calling it AI at the time."
1128200,1130500," We were calling it computer vision."
1130500,1132140," I was working at a French company."
1132140,1136460," I'm French, as you can hear from my accent."
1136460,1140320," And we were doing computer vision on device, on mobile."
1140320,1143340," The company went on to get acquired by Google after,"
1143340,1147960," but I never lost my passion and excitement for AI."
1147960,1152040," So seven years ago, with my co-founders, Julie and Thomas,"
1152040,1155640," we gathered around this passion for AI"
1155640,1158940," and started Hugging Face, what you see on my t-shirt,"
1158940,1160060," basically."
1160060,1162020," We started with something completely different."
1162020,1166620," We worked on conversational AI for three years."
1166620,1170220," And as it sometimes happens for startups,"
1170220,1173180," the underlying platform and technology"
1173180,1177240," ended up more useful than the end product."
1177240,1180320," When we started to release part of it on GitHub,"
1180320,1184500," we started to see open source contributors joining us."
1184500,1189300," We started to see scientists sharing models on the platform,"
1189300,1191900," leading to what Hugging Face is today."
1191900,1196320," So I mentioned the power and the creativity"
1196320,1199380," of the open community creating an AI."
1199380,1201580," Just share with us some statistics."
1201580,1203020," How big is it?"
1203020,1205060," How much energy is there in that community?"
1205060,1207520," And how much should we expect in that creativity"
1207520,1209100," available to all of us?"
1209100,1213860," Yeah, the energy in open source AI is insane these days."
1213860,1216640," Just a few weeks ago, I was in San Francisco."
1216640,1219480," I tweeted that I would be around and that we"
1219480,1221780," could do some sort of a small get-together."
1221780,1225660," And I said, OK, let's do it together for open source AI"
1225660,1227020," people."
1227020,1231020," We thought we would get maybe a few dozen, a few hundred people."
1231020,1235540," And the more the days came, the more people ended up joining."
1235540,1238700," We had to change locations three times to something."
1238700,1243260," At the end, almost as big as that, we had 5,000 people."
1243260,1246660," People started calling it the Woodstock of AI."
1246660,1249020," So that's just an example."
1249020,1251660," We're competing with that as the Woodstock, Woodstock"
1251660,1252580," of AI."
1252580,1254880," We're competing with that as the Woodstock of AI."
1254880,1257420," We're competing with that as the Woodstock, Woodstock of AI."
1257420,1260540," We're competing with that as the Woodstock, Woodstock of AI."
1260540,1263380," So we're competing with that as the Woodstock, Woodstock of AI."
1263380,1266660," So we're competing with that as the Woodstock, Woodstock of AI."
1266660,1269820," So we're competing with that as the Woodstock, Woodstock of AI."
1269820,1272900," So we're competing with that as the Woodstock, Woodstock of AI."
1272900,1276380," So we're competing with that as the Woodstock, Woodstock of AI."
1276380,1279900," We're competing with that as the Woodstock, Woodstock of AI."
1279900,1280900," So we're competing with that as the Woodstock, Woodstock of AI."
1280900,1281000," So we're competing with that as the Woodstock, Woodstock of AI."
1281000,1281020," We're competing with that as the Woodstock, Woodstock of AI."
1281020,1281040," So we're competing with that as the Woodstock, Woodstock of AI."
1281040,1281040," So we're competing with that as the Woodstock, Woodstock of AI."
1281040,1281040," So we're competing with that as the Woodstock, Woodstock of AI."
1281040,1281060," So we're competing with that as the Woodstock, Woodstock of AI."
1281060,1281080," So we're competing with that as the Woodstock, Woodstock of AI."
1281080,1281080," So we're competing with that as the Woodstock, Woodstock of AI."
1281080,1281100," So we're competing with that as the Woodstock, Woodstock of AI."
1281100,1281160," So we're competing with that as the Woodstock, Woodstock of AI."
1281160,1281180," So we're competing with that as the Woodstock, Woodstock of AI."
1281180,1281220," So we're competing with that as the Woodstock, Woodstock of AI."
1281220,1281260," So we're competing with that as the Woodstock, Woodstock of AI."
1281260,1281340," So we're competing with that as the Woodstock, Woodstock of AI."
1281340,1281400,"."
1301360,1331340," So we're competing with that as the Woodstock, Woodstock of AI."
1331340,1331400," So we're competing with that as the Woodstock, Woodstock of AI."
1331400,1331440," So we're competing with that as the Woodstock, Woodstock of AI."
1331440,1331480," So we're competing with that as the Woodstock, Woodstock of AI."
1331480,1331520," So we're competing with that as the Woodstock, Woodstock of AI."
1331520,1331560," So we're competing with that as the Woodstock, Woodstock of AI."
1331560,1331580," So we're competing with that as the Woodstock, Woodstock of AI."
1331580,1331620," So we're competing with that as the Woodstock, Woodstock of AI."
1331620,1331640," So we're competing with that as the Woodstock, Woodstock of AI."
1331640,1331680," So we're competing with that as the Woodstock, Woodstock of AI."
1331680,1331740," So we're competing with that as the Woodstock, Woodstock of AI."
1331740,1331800," So we're competing with that as the Woodstock, Woodstock of AI."
1331800,1331800," of AI."
1331840,1338180," So since the release of ChatGPT, right, and some people have said, OK, ChatGPT is the model to rule them all,"
1338180,1343020," 100,000 new models have been added on Hugging Face, right?"
1343020,1347880," And obviously, companies, they don't train models just to train models, right?"
1347880,1351760," They would prefer not to do it because it costs money to train models."
1351760,1361760," But the truth is, if you look at how AI is built, when you can build smaller, more specialized codes,"
1361760,1368540," customized models for your use cases, they end up being cheaper, they end up being more efficient,"
1368540,1372640," and they end up being better for your use case, right?"
1372640,1379820," Just the same way every single technology company learned how to write code, right,"
1379820,1385700," and to have a different code base than their competitors or than companies in other fields,"
1385700,1388840," we're seeing the same thing for AI, right?"
1388840,1391740," Every single company needs to train."
1391840,1398040," They need to train their own models, optimize their own models, learn how to run these models at scale."
1398040,1406660," Every single company needs to build their own ChatGPT because if they don't, they won't be able to differentiate."
1406660,1413720," They won't be able to create the unique technology value that they've been building for their customers,"
1413720,1418000," and they'll lose control, right, if they start outsourcing it."
1418000,1420820," So that's what we're seeing on Hugging Face."
1420820,1421720," And in the economy."
1421720,1422700," And in the ecosystem as a whole."
1422700,1427180," It's back to this philosophy of don't just be a prompt tuner user, right?"
1427180,1429120," Be a value creator with all of this."
1429120,1430880," So let's talk about our partnership for a minute."
1430880,1438880," Why are you excited about bringing the power of all of this community into Watson X in the context now of an enterprise,"
1438880,1443180," you know, need and meeting the needs of our clients that are here listening?"
1443180,1451180," Yeah, obviously Hugging Face and IBM share a lot of the same DNA, right, around open source."
1451180,1458660," Open platform, kind of like providing extensible tools for companies."
1458660,1466780," For me, one of the most iconic collaboration partnership of the last decade is IBM plus Red Hat."
1466780,1469720," And hopefully we're just at the beginning of it."
1469720,1474460," But with this collaboration, we can do the same thing for AI."
1474460,1480460," I think with this integration between Watson X and Hugging Face,"
1480460,1487080," you kind of like get the best of both worlds in the sense that you get the cutting edge and the community"
1487080,1492540," and the numbers of models, data sets, apps of the Hugging Face ecosystem."
1492540,1498860," And you get the security and supports of IBM, right?"
1498860,1502380," For example, you mentioned, we mentioned all the models."
1502380,1509360," The IBM consultants can help you to pick the right models for you at the time"
1509360,1510440," that is going to make the decision."
1510540,1512380," And that makes sense for your company."
1512380,1518080," So you really get kind of like the perfect mix to get to what we were saying,"
1518080,1522680," meaning every one of you being able to build your own internal chat GPT."
1522680,1525400," So tell us, this is just great."
1525400,1527900," I'm just delighted about those opportunities."
1527900,1531100," And so tell us a little bit about what's next for Hugging Face."
1531100,1533900," When you look over the next year or so, what excites you the most?"
1533900,1537480," Many, many exciting things for us."
1537480,1540420," We've seen a lot of adoption."
1540420,1546720," A lot of companies using us for text, for audio, for image."
1546720,1551520," And now we're starting to see that expand to other domains."
1551520,1555080," For example, we're seeing a lot of video right now."
1555080,1557540," We're seeing a lot of recommender systems."
1557540,1559600," We're seeing a lot of time series."
1559600,1562680," We're starting a lot of biology, chemistry."
1562680,1564680," We're really excited about it."
1564680,1569960," We think ultimately AI is the new default to build all features,"
1570400,1572440," all workflows, all products."
1572440,1575400," It's kind of like the new default to build all tech."
1575400,1580400," So we're excited for this expansion to other domains."
1580400,1587200," Also, we're seeing a lot of work around chaining different models."
1587200,1590580," And in fact, at Hugging Face, we released today Transformers Agents,"
1590580,1596440," which is a way to chain different models to build more complex systems"
1596440,1600380," that are achieving kind of like better capabilities."
1600380,1603380," These are some of the things that we're the most excited about."
1603380,1604380," So a lot there."
1604380,1605380," So thank you, Clem."
1605380,1606380," Thank you so much."
1606380,1607380," Thank you so much."
1607380,1608380," And congratulations."
1608380,1609380," Thanks."
1609380,1610380," Thank you."
1610380,1620380," So, well, you saw how the platform works to enable the foundation model creation workflow end-to-end."
1620380,1622380," And we talked about data."
1622380,1630360," We talked about model architectures, the compute infrastructure, the models themselves, the importance of modeling."
1630360,1632360," So we're going to start off the open community."
1632360,1637360," So now let me show you how to use and how you would experience WatsonX."
1637360,1641360," And we're going to go inside the studio, inside WatsonX.ai."
1641360,1650360," And from the landing page, you can choose to prompt models, to fine-tune models or deploy and manage your deployed models."
1650360,1655360," So here's an example of how you can use the prompt lab to do a summarization task."
1655360,1660340," You give the model the text as a prompt, and the model summarizes it for you."
1660340,1669340," In the case of a customer care interaction, it gives you the customer problem and the resolution according to the transcript of the interaction."
1669340,1678340," In the tuning studio, as we saw before, you can set the parameters of the type of tuning that you want to do and the base model, and you can add your data."
1678340,1685340," The studio gives you detailed stats of the tuning process and allows you to deploy the tuned model in your application."
1685340,1687340," It's that simple."
1687340,1690320," We took the complexity of the process away."
1690320,1694320," You only need to worry about creating value for your business."
1694320,1698320," And here are some of our current AI value creators."
1698320,1704320," SAP will use IBM Watson capabilities to power its digital assistant in their SAP solutions."
1704320,1711320," You've been hearing about Red Hat, how it's embedding IBM Watson code assistant into the Ansible automation platform."
1711320,1718320," BBBA is bringing their enterprise data to use with their own foundation model for natural language."
1718320,1720300," Moderna is supplying IBM's foundation model for natural language."
1720300,1724300," Microsoft is using cloud-based AI automation models to help predict potential mRNA medicines."
1724300,1734300," NASA is using our language models together with US spatial models we've created together to improve our scientific understanding and response to Earth and climate-related issues."
1734300,1743300," And Wix is using foundation models to gain novel insights for customer care as they meet the needs of their customers."
1743300,1750280," So what I encourage you is to join them and embrace the age of value creation with AI."
1750280,1756280," So I stood on a stage just like this, closing Think."
1756280,1762280," And I shared with all of the attendees that what was next in AI was foundation models."
1762280,1768280," And maybe at the time it seemed a little bit abstract and, you know, sort of like this intellectual disposition about where things were going."
1768280,1771280," But boy, what a year it has been."
1771280,1775280," And it has been a big year for AI at IBM."
1775280,1780260," So as we close our event this year, let me remind you of all the things"
1780260,1782260," that we have created and announced."
1782260,1791260," We've announced WatsonX, a comprehensive platform that allows you to create and govern AI in real time so that you can move with urgency and capture this moment."
1791260,1800260," We announced a set, a family of foundation models, including IBM models, open community models, and how you can even create your own models."
1800260,1810240," We announced our data model factory, using petabytes of data across multiple domains to create trillions of tokens to create our family of foundation models."
1810240,1820240," And show how the factory continuously updates them when conditions change and brings a regular cadence of models to ensure proper governance."
1820240,1833240," We told you about products where we have infused our foundation models, over 15 of them, including digital labor, Red Hat, products like Ansible Automation Platform, our partner products like SAP Solutions."
1833240,1840220," We announced important collaborations to advance AI and bring it to the enterprise, Hugging Face and longstanding collaborations"
1840220,1842220," and initiatives like PyTorch and Ray."
1842220,1848220," We showed you some of the organizations that have become AI value creators with us."
1848220,1857220," We're bringing IBM Vela, our cloud-native AI supercomputer, to train foundation models with bare-metal performance while giving us the flexibility of the cloud."
1857220,1861220," And we announced that we're making it available as a service."
1861220,1865220," Last year, we launched the Telum in C16."
1865220,1870200," It's an engineering marvel, and IBM's first processor to have the ability"
1870200,1873200," to process on-chip accelerators for AI inferencing."
1873200,1878200," It can process 300 billion inferences per day with one millisecond latencies."
1878200,1889200," This means that now you can infuse AI into every transaction in C16 for applications like fraud detection and others in real time."
1889200,1900180," Using the same core architecture as Telum, we built the IBM Research AIU, which is optimized to give superior performance for foundation models and enable with the Red Hat software."
1900180,1909180," And at IBM Research, we are incubating powerful AIU systems designed and optimized for enterprise AI inference and tuning."
1909180,1920180," So, a truly fantastic year, and this is just the start of all the amazing things that we're building and developing for you and that we will be sharing with you in the coming years."
1920180,1926180," So today, more than ever before, it's important to have a business strategy in AI."
1926180,1930160," And in closing, as you think about how to harness AI,"
1930160,1933160," how to build foundation models for your business,"
1933160,1937160," let me offer you some tips to consider."
1937160,1940160," First, act with urgency."
1940160,1943160," This is a transformative moment in technology."
1943160,1946160," Be bold and capture the moment."
1946160,1949160," Second, be a value creator."
1949160,1953160," Build foundation models on your data and under your control."
1953160,1956160," They will become your most valuable asset."
1956160,1960140," Don't outsource that and don't reduce your AI strategy"
1960140,1962140," to an API call."
1962140,1965140," Third, bet on community."
1965140,1970140," Bet on the energy and the ingenuity of the open AI community."
1970140,1974140," One model, I guarantee you, will not rule them all."
1974140,1976140," Run everywhere efficiently."
1976140,1983140," Optimize for performance, latency, and cost by building with open hybrid technologies."
1983140,1986140," And finally, be responsible."
1986140,1988140," I can't stress this enough."
1988140,1990120," Everything I've mentioned is useless."
1990120,1993120," Unless you build responsibly, transparently,"
1993120,1998120," and put governance into the heart of your AI lifecycle."
1998120,2004120," Continuously govern the data you use and the AI you deploy."
2004120,2007120," And co-create with trusted partners."
2007120,2011120," Trust is your ultimate license to operate."
2011120,2015120," If you map your AI business strategy against these recommendations,"
2015120,2020100," you will be in a prime position to do amazing things with foundation models"
2020100,2022100," and generative AI."
2022100,2027100," We have built WatsonX so that you can do just that."
2027100,2029100," And I hope you join us."
2029100,2034100," Because we cannot wait to get started on this journey with you."
2034100,2035100," Thank you."
2035100,2036100," Thank you."
2036100,2037100," Thank you."
2037100,2038100," Thank you."
2038100,2038100," Thank you."
2038100,2039100," Thank you."
2039100,2039100," Thank you."
2039100,2040100," Thank you."
2040100,2041100," Thank you."
2041100,2042100," Thank you."
2042100,2043100," Thank you."
2043100,2044100," Thank you."
2044100,2044100," Thank you."
2044100,2047100," ♪ ♪"
2047100,2052100," ♪ ♪"
2052100,2057100," ♪ ♪"
2057100,2060100," ♪ ♪"
